,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
385,2020-03-05,4.7,39.0,12.0,MODERATE
299,2020-05-11,9.4,45.0,10.0,MODERATE
382,2020-03-02,3.8,31.0,16.0,MODERATE
18,2020-03-03,14.09,49.0,11.21,MODERATE
181,2020-03-26,10.74,34.0,9.65,MODERATE
150,2020-03-22,5.82,47.0,9.68,MODERATE
23,2020-03-04,11.41,44.0,15.57,MODERATE
68,2020-05-08,8.95,53.0,12.0,MODERATE
677,2020-05-05,12.53,53.0,13.0,MODERATE
448,2020-05-07,7.61,51.0,14.0,MODERATE
291,2020-05-03,10.29,62.0,15.0,MODERATE
532,2020-05-14,4.25,49.0,9.0,MODERATE
182,2020-03-27,8.95,43.0,10.34,MODERATE
223,2020-05-12,17.67,46.0,10.0,MODERATE
297,2020-05-09,13.87,28.0,11.0,MODERATE
224,2020-05-13,12.3,40.0,10.0,MODERATE
464,2020-03-07,9.4,30.0,15.0,MODERATE
157,2020-03-04,16.11,46.0,10.0,MODERATE
538,2020-03-04,15.88,49.0,10.0,MODERATE
42,2020-03-07,3.8,39.0,9.38,MODERATE
33,2020-03-05,4.25,40.0,14.09,MODERATE
222,2020-05-11,7.61,48.0,10.0,MODERATE
151,2020-05-14,6.71,52.0,9.0,MODERATE
372,2020-05-08,12.08,40.0,12.0,MODERATE
462,2020-03-05,8.5,36.0,12.0,MODERATE
71,2020-05-11,12.75,56.0,10.0,MODERATE
298,2020-05-10,9.17,40.0,11.0,MODERATE
686,2020-05-14,9.62,53.0,9.0,MODERATE
452,2020-05-11,3.8,45.0,10.0,MODERATE
143,2020-05-06,8.5,45.0,13.0,MODERATE
28,2020-03-05,6.71,42.0,14.09,MODERATE
22,2020-03-04,3.58,42.0,15.57,MODERATE
526,2020-05-08,10.74,38.0,12.0,MODERATE
200,2020-03-29,11.41,49.0,13.04,MODERATE
7,2020-03-08,10.07,45.0,16.0,MODERATE
199,2020-03-29,11.41,51.0,13.04,MODERATE
9,2020-03-02,10.96,38.0,17.32,MODERATE
603,2020-05-08,8.72,51.0,12.0,MODERATE
529,2020-05-11,8.05,41.0,10.0,MODERATE
193,2020-03-28,11.63,49.0,10.88,MODERATE
24,2020-03-04,12.75,48.0,15.57,MODERATE
368,2020-05-04,12.3,49.0,14.0,MODERATE
608,2020-05-13,10.07,49.0,10.0,MODERATE
387,2020-03-07,9.62,30.0,15.0,MODERATE
208,2020-03-30,10.96,51.0,11.1,MODERATE
527,2020-05-09,13.87,34.0,11.0,MODERATE
607,2020-05-12,14.09,50.0,10.0,MODERATE
376,2020-05-12,14.09,42.0,10.0,MODERATE
55,2020-03-08,8.28,35.0,11.66,MODERATE
4,2020-03-05,12.97,46.0,12.0,MODERATE
153,2020-03-22,7.38,46.0,9.68,MODERATE
78,2020-03-02,14.09,44.0,16.0,MODERATE
67,2020-05-07,10.74,55.0,14.0,MODERATE
296,2020-05-08,9.17,38.0,12.0,MODERATE
16,2020-03-03,14.09,44.0,11.21,MODERATE
149,2020-05-12,10.51,40.0,10.0,MODERATE
62,2020-05-02,11.41,62.0,15.0,MODERATE
150,2020-05-13,4.25,37.0,10.0,MODERATE
47,2020-03-07,4.03,47.0,9.38,MODERATE
223,2020-04-01,5.82,34.0,9.57,MODERATE
46,2020-03-07,7.16,42.0,9.38,MODERATE
461,2020-03-04,15.66,39.0,10.0,MODERATE
378,2020-05-14,4.92,50.0,9.0,MODERATE
301,2020-05-14,7.38,58.0,10.0,MODERATE
524,2020-05-06,6.49,44.0,13.0,MODERATE
207,2020-03-30,13.65,47.0,11.1,MODERATE
307,2020-03-04,14.32,41.0,10.0,MODERATE
681,2020-05-09,22.15,42.0,11.0,MODERATE
198,2020-03-29,9.17,46.0,13.04,MODERATE
213,2020-03-31,7.83,42.0,10.1,MODERATE
366,2020-05-02,6.71,52.0,15.0,MODERATE
384,2020-03-04,9.17,42.0,10.0,MODERATE
371,2020-05-07,8.95,47.0,14.0,MODERATE
447,2020-05-06,3.36,45.0,13.0,MODERATE
609,2020-05-14,6.49,51.0,9.0,MODERATE
215,2020-03-31,9.17,44.0,10.1,MODERATE
151,2020-03-22,9.62,47.0,9.68,MODERATE
311,2020-03-08,5.37,37.0,16.0,MODERATE
619,2020-03-08,12.75,43.0,16.0,MODERATE
528,2020-05-10,7.61,41.0,11.0,MODERATE
190,2020-03-28,9.17,47.0,10.88,MODERATE
195,2020-03-28,13.2,42.0,10.88,MODERATE
600,2020-05-05,9.17,52.0,13.0,MODERATE
300,2020-05-12,10.96,38.0,10.0,MODERATE
43,2020-03-07,2.91,36.0,9.38,MODERATE
73,2020-05-13,10.29,52.0,10.0,MODERATE
604,2020-05-09,18.79,41.0,11.0,MODERATE
13,2020-03-02,17.22,37.0,17.32,MODERATE
180,2020-03-26,7.38,39.0,9.65,MODERATE
3,2020-03-04,18.34,51.0,10.0,MODERATE
388,2020-03-08,4.92,33.0,16.0,MODERATE
31,2020-03-05,5.14,39.0,14.09,MODERATE
72,2020-05-12,17.22,51.0,10.0,MODERATE
450,2020-05-09,12.3,35.0,11.0,MODERATE
186,2020-03-27,9.62,45.0,10.34,MODERATE
219,2020-05-05,9.62,48.0,13.0,MODERATE
