,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,6253,USR0000NSCH,2020-03-01,,19.0,8.0,SAFE
1,6254,USR0000NSCH,2020-03-02,,31.0,16.0,MODERATE
2,6255,USR0000NSCH,2020-03-03,,40.0,6.0,SAFE
3,6256,USR0000NSCH,2020-03-04,,38.0,10.0,MODERATE
4,6257,USR0000NSCH,2020-03-05,,36.0,12.0,MODERATE
5,6258,USR0000NSCH,2020-03-06,,34.0,19.0,RISKY
6,6259,USR0000NSCH,2020-03-07,,29.0,15.0,MODERATE
7,6260,USR0000NSCH,2020-03-08,,37.0,16.0,MODERATE
8,6261,USR0000NSCH,2020-03-09,,43.0,20.0,RISKY
9,6262,USR0000NSCH,2020-03-10,,42.0,23.0,RISKY
10,6263,USR0000NSCH,2020-03-11,,32.0,28.0,RISKY
11,6264,USR0000NSCH,2020-03-12,,37.0,38.0,RISKY
12,6265,USR0000NSCH,2020-03-13,,40.0,44.0,RISKY
13,6266,USR0000NSCH,2020-03-14,,38.0,43.0,RISKY
14,6267,USR0000NSCH,2020-03-15,,27.0,44.0,RISKY
15,6268,USR0000NSCH,2020-03-16,,27.0,47.0,RISKY
16,6269,USR0000NSCH,2020-03-17,,36.0,48.0,RISKY
17,6270,USR0000NSCH,2020-03-18,,36.0,51.0,RISKY
18,6271,USR0000NSCH,2020-03-19,,38.0,55.0,RISKY
19,6272,USR0000NSCH,2020-03-20,,46.0,58.0,RISKY
20,6273,USR0000NSCH,2020-03-21,,30.0,63.0,RISKY
21,6274,USR0000NSCH,2020-03-22,,25.0,62.0,RISKY
22,6275,USR0000NSCH,2020-03-23,,28.0,63.0,RISKY
23,6276,USR0000NSCH,2020-03-24,,32.0,68.0,RISKY
24,6277,USR0000NSCH,2020-03-25,,33.0,67.0,RISKY
25,6278,USR0000NSCH,2020-03-26,,40.0,71.0,RISKY
26,6279,USR0000NSCH,2020-03-27,,42.0,70.0,RISKY
27,6280,USR0000NSCH,2020-03-28,,38.0,69.0,RISKY
28,6281,USR0000NSCH,2020-03-29,,40.0,67.0,RISKY
29,6282,USR0000NSCH,2020-03-30,,40.0,63.0,RISKY
30,6283,USR0000NSCH,2020-03-31,,38.0,60.0,RISKY
31,6284,USR0000NSCH,2020-04-01,,38.0,58.0,RISKY
32,6285,USR0000NSCH,2020-04-02,,42.0,59.0,RISKY
33,6286,USR0000NSCH,2020-04-03,,44.0,57.0,RISKY
34,6287,USR0000NSCH,2020-04-04,,49.0,56.0,RISKY
35,6288,USR0000NSCH,2020-04-05,,47.0,55.0,RISKY
36,6289,USR0000NSCH,2020-04-06,,43.0,53.0,RISKY
37,6290,USR0000NSCH,2020-04-07,,45.0,53.0,RISKY
38,6291,USR0000NSCH,2020-04-08,,45.0,55.0,RISKY
39,6292,USR0000NSCH,2020-04-09,,39.0,51.0,RISKY
40,6293,USR0000NSCH,2020-04-10,,38.0,48.0,RISKY
41,6294,USR0000NSCH,2020-04-11,,36.0,46.0,RISKY
42,6295,USR0000NSCH,2020-04-12,,42.0,42.0,RISKY
43,6296,USR0000NSCH,2020-04-13,,50.0,38.0,RISKY
44,6297,USR0000NSCH,2020-04-14,,40.0,35.0,RISKY
45,6298,USR0000NSCH,2020-04-15,,35.0,34.0,RISKY
46,6299,USR0000NSCH,2020-04-16,,34.0,33.0,RISKY
47,6300,USR0000NSCH,2020-04-17,,37.0,34.0,RISKY
48,6301,USR0000NSCH,2020-04-18,,39.0,32.0,RISKY
49,6302,USR0000NSCH,2020-04-19,,45.0,31.0,RISKY
50,6303,USR0000NSCH,2020-04-20,,38.0,30.0,RISKY
51,6304,USR0000NSCH,2020-04-21,,35.0,28.0,RISKY
52,6305,USR0000NSCH,2020-04-22,,32.0,27.0,RISKY
53,6306,USR0000NSCH,2020-04-23,,38.0,26.0,RISKY
54,6307,USR0000NSCH,2020-04-24,,44.0,23.0,RISKY
55,6308,USR0000NSCH,2020-04-25,,50.0,23.0,RISKY
56,6309,USR0000NSCH,2020-04-26,,42.0,23.0,RISKY
57,6310,USR0000NSCH,2020-04-27,,39.0,21.0,RISKY
58,6311,USR0000NSCH,2020-04-28,,43.0,19.0,RISKY
59,6312,USR0000NSCH,2020-04-29,,49.0,19.0,RISKY
60,6313,USR0000NSCH,2020-04-30,,48.0,19.0,RISKY
61,6314,USR0000NSCH,2020-05-01,,54.0,18.0,RISKY
62,6315,USR0000NSCH,2020-05-02,,55.0,15.0,MODERATE
63,6316,USR0000NSCH,2020-05-03,,63.0,15.0,MODERATE
64,6317,USR0000NSCH,2020-05-04,,47.0,14.0,MODERATE
65,6318,USR0000NSCH,2020-05-05,,44.0,13.0,MODERATE
66,6319,USR0000NSCH,2020-05-06,,44.0,13.0,MODERATE
67,6320,USR0000NSCH,2020-05-07,,47.0,14.0,MODERATE
68,6321,USR0000NSCH,2020-05-08,,41.0,12.0,MODERATE
69,6322,USR0000NSCH,2020-05-09,,33.0,11.0,MODERATE
70,6323,USR0000NSCH,2020-05-10,,42.0,11.0,MODERATE
71,6324,USR0000NSCH,2020-05-11,,42.0,10.0,MODERATE
72,6325,USR0000NSCH,2020-05-12,,40.0,10.0,MODERATE
73,6326,USR0000NSCH,2020-05-13,,44.0,10.0,MODERATE
74,6327,USR0000NSCH,2020-05-14,,54.0,9.0,MODERATE
75,6328,USR0000NSCH,2020-05-15,,61.0,8.0,SAFE
76,6329,USR0000NSCH,2020-05-16,,57.0,7.0,SAFE
77,6330,USR0000NSCH,2020-05-17,,58.0,7.0,SAFE
