,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,21900,USR0000NSHR,2020-03-01,,25.0,8.0,SAFE
1,21901,USR0000NSHR,2020-03-02,,44.0,16.0,MODERATE
2,21902,USR0000NSHR,2020-03-03,,45.0,6.0,SAFE
3,21903,USR0000NSHR,2020-03-04,,38.0,10.0,MODERATE
4,21904,USR0000NSHR,2020-03-05,,34.0,12.0,MODERATE
5,21905,USR0000NSHR,2020-03-06,,32.0,19.0,RISKY
6,21906,USR0000NSHR,2020-03-07,,28.0,15.0,MODERATE
7,21907,USR0000NSHR,2020-03-08,,40.0,16.0,MODERATE
8,21908,USR0000NSHR,2020-03-09,,52.0,20.0,RISKY
9,21909,USR0000NSHR,2020-03-10,,49.0,23.0,RISKY
10,21910,USR0000NSHR,2020-03-11,,35.0,28.0,RISKY
11,21911,USR0000NSHR,2020-03-12,,43.0,38.0,RISKY
12,21912,USR0000NSHR,2020-03-13,,46.0,44.0,RISKY
13,21913,USR0000NSHR,2020-03-14,,35.0,43.0,RISKY
14,21914,USR0000NSHR,2020-03-15,,33.0,44.0,RISKY
15,21915,USR0000NSHR,2020-03-16,,33.0,47.0,RISKY
16,21916,USR0000NSHR,2020-03-17,,38.0,48.0,RISKY
17,21917,USR0000NSHR,2020-03-18,,40.0,51.0,RISKY
18,21918,USR0000NSHR,2020-03-19,,45.0,55.0,RISKY
19,21919,USR0000NSHR,2020-03-20,,52.0,58.0,RISKY
20,21920,USR0000NSHR,2020-03-21,,30.0,63.0,RISKY
21,21921,USR0000NSHR,2020-03-22,,30.0,62.0,RISKY
22,21922,USR0000NSHR,2020-03-23,,32.0,63.0,RISKY
23,21923,USR0000NSHR,2020-03-24,,34.0,68.0,RISKY
24,21924,USR0000NSHR,2020-03-25,,35.0,67.0,RISKY
25,21925,USR0000NSHR,2020-03-26,,45.0,71.0,RISKY
26,21926,USR0000NSHR,2020-03-27,,41.0,70.0,RISKY
27,21927,USR0000NSHR,2020-03-28,,37.0,69.0,RISKY
28,21928,USR0000NSHR,2020-03-29,,47.0,67.0,RISKY
29,21929,USR0000NSHR,2020-03-30,,44.0,63.0,RISKY
30,21930,USR0000NSHR,2020-03-31,,42.0,60.0,RISKY
31,21931,USR0000NSHR,2020-04-01,,40.0,58.0,RISKY
32,21932,USR0000NSHR,2020-04-02,,42.0,59.0,RISKY
33,21933,USR0000NSHR,2020-04-03,,42.0,57.0,RISKY
34,21934,USR0000NSHR,2020-04-04,,48.0,56.0,RISKY
35,21935,USR0000NSHR,2020-04-05,,48.0,55.0,RISKY
36,21936,USR0000NSHR,2020-04-06,,44.0,53.0,RISKY
37,21937,USR0000NSHR,2020-04-07,,50.0,53.0,RISKY
38,21938,USR0000NSHR,2020-04-08,,45.0,55.0,RISKY
39,21939,USR0000NSHR,2020-04-09,,40.0,51.0,RISKY
40,21940,USR0000NSHR,2020-04-10,,36.0,48.0,RISKY
41,21941,USR0000NSHR,2020-04-11,,36.0,46.0,RISKY
42,21942,USR0000NSHR,2020-04-12,,46.0,42.0,RISKY
43,21943,USR0000NSHR,2020-04-13,,54.0,38.0,RISKY
44,21944,USR0000NSHR,2020-04-14,,41.0,35.0,RISKY
45,21945,USR0000NSHR,2020-04-15,,36.0,34.0,RISKY
46,21946,USR0000NSHR,2020-04-16,,32.0,33.0,RISKY
47,21947,USR0000NSHR,2020-04-17,,35.0,34.0,RISKY
48,21948,USR0000NSHR,2020-04-18,,35.0,32.0,RISKY
49,21949,USR0000NSHR,2020-04-19,,45.0,31.0,RISKY
50,21950,USR0000NSHR,2020-04-20,,39.0,30.0,RISKY
51,21951,USR0000NSHR,2020-04-21,,36.0,28.0,RISKY
52,21952,USR0000NSHR,2020-04-22,,33.0,27.0,RISKY
53,21953,USR0000NSHR,2020-04-23,,35.0,26.0,RISKY
54,21954,USR0000NSHR,2020-04-24,,44.0,23.0,RISKY
55,21955,USR0000NSHR,2020-04-25,,52.0,23.0,RISKY
56,21956,USR0000NSHR,2020-04-26,,42.0,23.0,RISKY
57,21957,USR0000NSHR,2020-04-27,,40.0,21.0,RISKY
58,21958,USR0000NSHR,2020-04-28,,46.0,19.0,RISKY
59,21959,USR0000NSHR,2020-04-29,,50.0,19.0,RISKY
60,21960,USR0000NSHR,2020-04-30,,56.0,19.0,RISKY
61,21961,USR0000NSHR,2020-05-01,,51.0,18.0,RISKY
62,21962,USR0000NSHR,2020-05-02,,54.0,15.0,MODERATE
63,21963,USR0000NSHR,2020-05-03,,63.0,15.0,MODERATE
64,21964,USR0000NSHR,2020-05-04,,43.0,14.0,MODERATE
65,21965,USR0000NSHR,2020-05-05,,41.0,13.0,MODERATE
66,21966,USR0000NSHR,2020-05-06,,43.0,13.0,MODERATE
67,21967,USR0000NSHR,2020-05-07,,45.0,14.0,MODERATE
68,21968,USR0000NSHR,2020-05-08,,37.0,12.0,MODERATE
69,21969,USR0000NSHR,2020-05-09,,32.0,11.0,MODERATE
70,21970,USR0000NSHR,2020-05-10,,44.0,11.0,MODERATE
71,21971,USR0000NSHR,2020-05-11,,41.0,10.0,MODERATE
72,21972,USR0000NSHR,2020-05-12,,38.0,10.0,MODERATE
73,21973,USR0000NSHR,2020-05-13,,40.0,10.0,MODERATE
74,21974,USR0000NSHR,2020-05-14,,50.0,9.0,MODERATE
75,21975,USR0000NSHR,2020-05-15,,64.0,8.0,SAFE
76,21976,USR0000NSHR,2020-05-16,,57.0,7.0,SAFE
77,21977,USR0000NSHR,2020-05-17,,60.0,7.0,SAFE
