,Countries,Wind_Speed,Temperature,Threat_Level,Safe(%),Moderate(%),Risk(%)
0,Afghanistan,10.5,82.4,Safe,98.89,0.46,0.65
1,Albania,0.0,73.4,Safe,98.71,0.52,0.77
2,Algeria,0.0,68.0,Safe,98.25,0.7,1.05
3,Andorra,1.8,46.2,Safe,71.41,8.79,19.79
4,Angola,0.0,75.2,Safe,98.81,0.48,0.7
5,Argentina,5.6,46.4,Safe,57.63,13.4,28.96
6,Armenia,0.0,78.8,Safe,98.97,0.42,0.61
7,Australia,12.5,53.6,Safe,43.77,23.25,32.98
8,Austria,17.4,60.8,Safe,61.58,7.28,31.14
9,Azerbaijan,23.0,86.0,Safe,97.03,0.89,2.08
10,Bahrain,17.4,96.8,Safe,81.7,8.42,9.88
11,Bangladesh,10.7,93.0,Safe,99.27,0.29,0.43
12,Barbados,16.1,78.8,Safe,72.37,13.17,14.46
13,Belarus,9.4,64.4,Safe,88.21,5.07,6.72
14,Belgium,6.9,64.4,Safe,97.27,1.07,1.66
15,Belize,4.3,82.4,Safe,99.11,0.36,0.53
16,Benin,0.0,78.8,Safe,98.97,0.42,0.61
17,Bhutan,0.0,73.4,Safe,98.71,0.52,0.77
18,Bolivia,8.1,39.2,Risky,16.41,30.59,53.0
19,Botswana,0.0,37.4,Safe,64.09,11.66,24.25
20,Brazil,5.6,64.4,Safe,97.54,0.96,1.5
21,Brunei Darussalam,9.4,91.4,Safe,99.28,0.29,0.43
22,Bulgaria,10.5,66.2,Safe,73.77,11.94,14.29
23,Burundi,1.3,66.6,Safe,98.1,0.76,1.15
24,Cambodia,9.4,91.4,Safe,99.28,0.29,0.43
25,Cameroon,0.0,69.8,Safe,98.44,0.63,0.93
26,Canada,4.3,46.4,Safe,66.75,10.31,22.94
27,Chad,12.5,73.4,Safe,72.71,12.92,14.37
28,Chile,6.9,46.4,Risky,33.92,22.09,43.99
29,China,6.9,98.6,Safe,99.36,0.25,0.38
30,Colombia,6.9,53.6,Safe,72.16,9.66,18.18
31,Comoros,15.0,80.6,Safe,73.02,12.84,14.14
32,Colombia,0.0,68.0,Safe,98.25,0.7,1.05
33,Croatia,4.3,64.4,Safe,97.67,0.91,1.42
34,Cuba,0.0,71.6,Safe,98.59,0.57,0.84
35,Cyprus,1.6,73.0,Safe,98.7,0.53,0.77
36,Denmark,6.9,62.6,Safe,96.63,1.31,2.07
37,Djibouti,11.9,98.6,Safe,99.32,0.27,0.4
38,Dominica,12.1,79.9,Safe,95.59,1.94,2.46
39,Ecuador,4.7,53.4,Safe,86.73,4.42,8.86
40,Egypt,10.5,77.0,Safe,98.15,0.78,1.06
41,Eritrea,3.6,71.1,Safe,98.57,0.58,0.85
