,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,2020-03-01,13.42,32.0,8.0,SAFE
1,2020-03-02,10.29,45.0,16.0,MODERATE
2,2020-03-03,9.62,53.0,6.0,SAFE
3,2020-03-04,18.34,51.0,10.0,MODERATE
4,2020-03-05,12.97,46.0,12.0,MODERATE
5,2020-03-06,12.53,42.0,19.0,RISKY
6,2020-03-07,14.54,41.0,15.0,MODERATE
7,2020-03-08,10.07,45.0,16.0,MODERATE
8,2020-03-09,11.18,58.0,20.0,RISKY
9,2020-03-10,13.2,61.0,23.0,RISKY
10,2020-03-11,8.5,53.0,28.0,RISKY
11,2020-03-12,9.17,46.0,38.0,RISKY
12,2020-03-13,16.11,53.0,44.0,RISKY
13,2020-03-14,14.32,51.0,43.0,RISKY
14,2020-03-15,9.4,47.0,44.0,RISKY
15,2020-03-16,13.87,40.0,47.0,RISKY
16,2020-03-17,8.72,45.0,48.0,RISKY
17,2020-03-18,9.62,49.0,51.0,RISKY
18,2020-03-19,9.62,46.0,55.0,RISKY
19,2020-03-20,10.96,55.0,58.0,RISKY
20,2020-03-21,13.2,54.0,63.0,RISKY
21,2020-03-22,13.42,40.0,62.0,RISKY
22,2020-03-23,14.54,39.0,63.0,RISKY
23,2020-03-24,10.29,43.0,68.0,RISKY
24,2020-03-25,15.66,44.0,67.0,RISKY
25,2020-03-26,8.5,46.0,71.0,RISKY
26,2020-03-27,6.26,56.0,70.0,RISKY
27,2020-03-28,11.18,49.0,69.0,RISKY
28,2020-03-29,18.34,45.0,67.0,RISKY
29,2020-03-30,7.61,46.0,63.0,RISKY
30,2020-03-31,9.17,45.0,60.0,RISKY
31,2020-04-01,12.53,45.0,58.0,RISKY
32,2020-04-02,19.69,49.0,59.0,RISKY
33,2020-04-03,18.57,50.0,57.0,RISKY
34,2020-04-04,8.95,52.0,56.0,RISKY
35,2020-04-05,6.26,52.0,55.0,RISKY
36,2020-04-06,8.95,55.0,53.0,RISKY
37,2020-04-07,8.95,58.0,53.0,RISKY
38,2020-04-08,6.93,55.0,55.0,RISKY
39,2020-04-09,14.76,52.0,51.0,RISKY
40,2020-04-10,21.92,45.0,48.0,RISKY
41,2020-04-11,13.65,46.0,46.0,RISKY
42,2020-04-12,10.51,53.0,42.0,RISKY
43,2020-04-13,19.01,57.0,38.0,RISKY
44,2020-04-14,12.53,56.0,35.0,RISKY
45,2020-04-15,12.53,49.0,34.0,RISKY
46,2020-04-16,18.57,47.0,33.0,RISKY
47,2020-04-17,10.96,44.0,34.0,RISKY
48,2020-04-18,10.51,44.0,32.0,RISKY
49,2020-04-19,12.3,50.0,31.0,RISKY
50,2020-04-20,7.16,54.0,30.0,RISKY
51,2020-04-21,15.43,52.0,28.0,RISKY
52,2020-04-22,18.12,44.0,27.0,RISKY
53,2020-04-23,7.83,45.0,26.0,RISKY
54,2020-04-24,12.08,47.0,23.0,RISKY
55,2020-04-25,5.82,52.0,23.0,RISKY
56,2020-04-26,15.88,49.0,23.0,RISKY
57,2020-04-27,14.32,45.0,21.0,RISKY
58,2020-04-28,8.95,51.0,19.0,RISKY
59,2020-04-29,12.53,51.0,19.0,RISKY
60,2020-04-30,18.79,55.0,19.0,RISKY
61,2020-05-01,9.17,58.0,18.0,RISKY
62,2020-05-02,11.41,62.0,15.0,MODERATE
63,2020-05-03,9.84,67.0,15.0,MODERATE
64,2020-05-04,15.21,67.0,14.0,MODERATE
65,2020-05-05,10.51,54.0,13.0,MODERATE
66,2020-05-06,10.07,52.0,13.0,MODERATE
67,2020-05-07,10.74,55.0,14.0,MODERATE
68,2020-05-08,8.95,53.0,12.0,MODERATE
69,2020-05-09,21.47,42.0,11.0,MODERATE
70,2020-05-10,15.66,50.0,11.0,MODERATE
71,2020-05-11,12.75,56.0,10.0,MODERATE
72,2020-05-12,17.22,51.0,10.0,MODERATE
73,2020-05-13,10.29,52.0,10.0,MODERATE
74,2020-05-14,8.95,57.0,9.0,MODERATE
75,2020-05-15,11.41,71.0,8.0,SAFE
76,2020-05-16,10.74,74.0,7.0,SAFE
0,2020-03-01,7.83,26.0,8.0,SAFE
1,2020-03-02,14.09,44.0,16.0,MODERATE
