,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,51117,USR0000NGAN,2020-03-01,,31.0,8.0,SAFE
1,51118,USR0000NGAN,2020-03-02,,44.0,16.0,MODERATE
2,51119,USR0000NGAN,2020-03-03,,45.0,6.0,SAFE
3,51120,USR0000NGAN,2020-03-04,,41.0,10.0,MODERATE
4,51121,USR0000NGAN,2020-03-05,,37.0,12.0,MODERATE
5,51122,USR0000NGAN,2020-03-06,,32.0,19.0,RISKY
6,51123,USR0000NGAN,2020-03-07,,31.0,15.0,MODERATE
7,51124,USR0000NGAN,2020-03-08,,40.0,16.0,MODERATE
8,51125,USR0000NGAN,2020-03-09,,51.0,20.0,RISKY
9,51126,USR0000NGAN,2020-03-10,,51.0,23.0,RISKY
10,51127,USR0000NGAN,2020-03-11,,38.0,28.0,RISKY
11,51128,USR0000NGAN,2020-03-12,,47.0,38.0,RISKY
12,51129,USR0000NGAN,2020-03-13,,49.0,44.0,RISKY
13,51130,USR0000NGAN,2020-03-14,,38.0,43.0,RISKY
14,51131,USR0000NGAN,2020-03-15,,35.0,44.0,RISKY
15,51132,USR0000NGAN,2020-03-16,,35.0,47.0,RISKY
16,51133,USR0000NGAN,2020-03-17,,42.0,48.0,RISKY
17,51134,USR0000NGAN,2020-03-18,,41.0,51.0,RISKY
18,51135,USR0000NGAN,2020-03-19,,48.0,55.0,RISKY
19,51136,USR0000NGAN,2020-03-20,,56.0,58.0,RISKY
20,51137,USR0000NGAN,2020-03-21,,31.0,63.0,RISKY
21,51138,USR0000NGAN,2020-03-22,,31.0,62.0,RISKY
22,51139,USR0000NGAN,2020-03-23,,35.0,63.0,RISKY
23,51140,USR0000NGAN,2020-03-24,,37.0,68.0,RISKY
24,51141,USR0000NGAN,2020-03-25,,39.0,67.0,RISKY
25,51142,USR0000NGAN,2020-03-26,,47.0,71.0,RISKY
26,51143,USR0000NGAN,2020-03-27,,46.0,70.0,RISKY
27,51144,USR0000NGAN,2020-03-28,,41.0,69.0,RISKY
28,51145,USR0000NGAN,2020-03-29,,50.0,67.0,RISKY
29,51146,USR0000NGAN,2020-03-30,,42.0,63.0,RISKY
30,51147,USR0000NGAN,2020-03-31,,43.0,60.0,RISKY
31,51148,USR0000NGAN,2020-04-01,,41.0,58.0,RISKY
32,51149,USR0000NGAN,2020-04-02,,41.0,59.0,RISKY
33,51150,USR0000NGAN,2020-04-03,,41.0,57.0,RISKY
34,51151,USR0000NGAN,2020-04-04,,48.0,56.0,RISKY
35,51152,USR0000NGAN,2020-04-05,,49.0,55.0,RISKY
36,51153,USR0000NGAN,2020-04-06,,47.0,53.0,RISKY
37,51154,USR0000NGAN,2020-04-07,,53.0,53.0,RISKY
38,51155,USR0000NGAN,2020-04-08,,51.0,55.0,RISKY
39,51156,USR0000NGAN,2020-04-09,,41.0,51.0,RISKY
40,51157,USR0000NGAN,2020-04-10,,36.0,48.0,RISKY
41,51158,USR0000NGAN,2020-04-11,,38.0,46.0,RISKY
42,51159,USR0000NGAN,2020-04-12,,48.0,42.0,RISKY
43,51160,USR0000NGAN,2020-04-13,,56.0,38.0,RISKY
44,51161,USR0000NGAN,2020-04-14,,43.0,35.0,RISKY
45,51162,USR0000NGAN,2020-04-15,,37.0,34.0,RISKY
46,51163,USR0000NGAN,2020-04-16,,32.0,33.0,RISKY
47,51164,USR0000NGAN,2020-04-17,,32.0,34.0,RISKY
48,51165,USR0000NGAN,2020-04-18,,37.0,32.0,RISKY
49,51166,USR0000NGAN,2020-04-19,,45.0,31.0,RISKY
50,51167,USR0000NGAN,2020-04-20,,42.0,30.0,RISKY
51,51168,USR0000NGAN,2020-04-21,,37.0,28.0,RISKY
52,51169,USR0000NGAN,2020-04-22,,35.0,27.0,RISKY
53,51170,USR0000NGAN,2020-04-23,,39.0,26.0,RISKY
54,51171,USR0000NGAN,2020-04-24,,47.0,23.0,RISKY
55,51172,USR0000NGAN,2020-04-25,,52.0,23.0,RISKY
56,51173,USR0000NGAN,2020-04-26,,42.0,23.0,RISKY
57,51174,USR0000NGAN,2020-04-27,,39.0,21.0,RISKY
58,51175,USR0000NGAN,2020-04-28,,46.0,19.0,RISKY
59,51176,USR0000NGAN,2020-04-29,,54.0,19.0,RISKY
60,51177,USR0000NGAN,2020-04-30,,57.0,19.0,RISKY
61,51178,USR0000NGAN,2020-05-01,,52.0,18.0,RISKY
62,51179,USR0000NGAN,2020-05-02,,54.0,15.0,MODERATE
63,51180,USR0000NGAN,2020-05-03,,63.0,15.0,MODERATE
64,51181,USR0000NGAN,2020-05-04,,45.0,14.0,MODERATE
65,51182,USR0000NGAN,2020-05-05,,44.0,13.0,MODERATE
66,51183,USR0000NGAN,2020-05-06,,40.0,13.0,MODERATE
67,51184,USR0000NGAN,2020-05-07,,45.0,14.0,MODERATE
68,51185,USR0000NGAN,2020-05-08,,37.0,12.0,MODERATE
69,51186,USR0000NGAN,2020-05-09,,35.0,11.0,MODERATE
70,51187,USR0000NGAN,2020-05-10,,48.0,11.0,MODERATE
71,51188,USR0000NGAN,2020-05-11,,43.0,10.0,MODERATE
72,51189,USR0000NGAN,2020-05-12,,42.0,10.0,MODERATE
73,51190,USR0000NGAN,2020-05-13,,43.0,10.0,MODERATE
74,51191,USR0000NGAN,2020-05-14,,52.0,9.0,MODERATE
75,51192,USR0000NGAN,2020-05-15,,63.0,8.0,SAFE
76,51193,USR0000NGAN,2020-05-16,,59.0,7.0,SAFE
77,51194,USR0000NGAN,2020-05-17,,57.0,7.0,SAFE
