,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,29688,USR0000NSTO,2020-03-01,,30.0,8.0,SAFE
1,29689,USR0000NSTO,2020-03-02,,45.0,16.0,MODERATE
2,29690,USR0000NSTO,2020-03-03,,53.0,6.0,SAFE
3,29691,USR0000NSTO,2020-03-04,,46.0,10.0,MODERATE
4,29692,USR0000NSTO,2020-03-05,,41.0,12.0,MODERATE
5,29693,USR0000NSTO,2020-03-06,,37.0,19.0,RISKY
6,29694,USR0000NSTO,2020-03-07,,37.0,15.0,MODERATE
7,29695,USR0000NSTO,2020-03-08,,44.0,16.0,MODERATE
8,29696,USR0000NSTO,2020-03-09,,59.0,20.0,RISKY
9,29697,USR0000NSTO,2020-03-10,,57.0,23.0,RISKY
10,29698,USR0000NSTO,2020-03-11,,44.0,28.0,RISKY
11,29699,USR0000NSTO,2020-03-12,,41.0,38.0,RISKY
12,29700,USR0000NSTO,2020-03-13,,53.0,44.0,RISKY
13,29701,USR0000NSTO,2020-03-14,,44.0,43.0,RISKY
14,29702,USR0000NSTO,2020-03-15,,42.0,44.0,RISKY
15,29703,USR0000NSTO,2020-03-16,,36.0,47.0,RISKY
16,29704,USR0000NSTO,2020-03-17,,42.0,48.0,RISKY
17,29705,USR0000NSTO,2020-03-18,,44.0,51.0,RISKY
18,29706,USR0000NSTO,2020-03-19,,43.0,55.0,RISKY
19,29707,USR0000NSTO,2020-03-20,,56.0,58.0,RISKY
20,29708,USR0000NSTO,2020-03-21,,42.0,63.0,RISKY
21,29709,USR0000NSTO,2020-03-22,,35.0,62.0,RISKY
22,29710,USR0000NSTO,2020-03-23,,33.0,63.0,RISKY
23,29711,USR0000NSTO,2020-03-24,,39.0,68.0,RISKY
24,29712,USR0000NSTO,2020-03-25,,38.0,67.0,RISKY
25,29713,USR0000NSTO,2020-03-26,,45.0,71.0,RISKY
26,29714,USR0000NSTO,2020-03-27,,53.0,70.0,RISKY
27,29715,USR0000NSTO,2020-03-28,,41.0,69.0,RISKY
28,29716,USR0000NSTO,2020-03-29,,46.0,67.0,RISKY
29,29717,USR0000NSTO,2020-03-30,,45.0,63.0,RISKY
30,29718,USR0000NSTO,2020-03-31,,43.0,60.0,RISKY
31,29719,USR0000NSTO,2020-04-01,,44.0,58.0,RISKY
32,29720,USR0000NSTO,2020-04-02,,47.0,59.0,RISKY
33,29721,USR0000NSTO,2020-04-03,,47.0,57.0,RISKY
34,29722,USR0000NSTO,2020-04-04,,54.0,56.0,RISKY
35,29723,USR0000NSTO,2020-04-05,,54.0,55.0,RISKY
36,29724,USR0000NSTO,2020-04-06,,53.0,53.0,RISKY
37,29725,USR0000NSTO,2020-04-07,,56.0,53.0,RISKY
38,29726,USR0000NSTO,2020-04-08,,49.0,55.0,RISKY
39,29727,USR0000NSTO,2020-04-09,,46.0,51.0,RISKY
40,29728,USR0000NSTO,2020-04-10,,42.0,48.0,RISKY
41,29729,USR0000NSTO,2020-04-11,,43.0,46.0,RISKY
42,29730,USR0000NSTO,2020-04-12,,50.0,42.0,RISKY
43,29731,USR0000NSTO,2020-04-13,,59.0,38.0,RISKY
44,29732,USR0000NSTO,2020-04-14,,49.0,35.0,RISKY
45,29733,USR0000NSTO,2020-04-15,,43.0,34.0,RISKY
46,29734,USR0000NSTO,2020-04-16,,41.0,33.0,RISKY
47,29735,USR0000NSTO,2020-04-17,,39.0,34.0,RISKY
48,29736,USR0000NSTO,2020-04-18,,38.0,32.0,RISKY
49,29737,USR0000NSTO,2020-04-19,,50.0,31.0,RISKY
50,29738,USR0000NSTO,2020-04-20,,46.0,30.0,RISKY
51,29739,USR0000NSTO,2020-04-21,,43.0,28.0,RISKY
52,29740,USR0000NSTO,2020-04-22,,39.0,27.0,RISKY
53,29741,USR0000NSTO,2020-04-23,,39.0,26.0,RISKY
54,29742,USR0000NSTO,2020-04-24,,42.0,23.0,RISKY
55,29743,USR0000NSTO,2020-04-25,,52.0,23.0,RISKY
56,29744,USR0000NSTO,2020-04-26,,44.0,23.0,RISKY
57,29745,USR0000NSTO,2020-04-27,,42.0,21.0,RISKY
58,29746,USR0000NSTO,2020-04-28,,51.0,19.0,RISKY
59,29747,USR0000NSTO,2020-04-29,,49.0,19.0,RISKY
60,29748,USR0000NSTO,2020-04-30,,54.0,19.0,RISKY
61,29749,USR0000NSTO,2020-05-01,,58.0,18.0,RISKY
62,29750,USR0000NSTO,2020-05-02,,60.0,15.0,MODERATE
63,29751,USR0000NSTO,2020-05-03,,67.0,15.0,MODERATE
64,29752,USR0000NSTO,2020-05-04,,57.0,14.0,MODERATE
65,29753,USR0000NSTO,2020-05-05,,51.0,13.0,MODERATE
66,29754,USR0000NSTO,2020-05-06,,47.0,13.0,MODERATE
67,29755,USR0000NSTO,2020-05-07,,55.0,14.0,MODERATE
68,29756,USR0000NSTO,2020-05-08,,44.0,12.0,MODERATE
69,29757,USR0000NSTO,2020-05-09,,38.0,11.0,MODERATE
70,29758,USR0000NSTO,2020-05-10,,50.0,11.0,MODERATE
71,29759,USR0000NSTO,2020-05-11,,47.0,10.0,MODERATE
72,29760,USR0000NSTO,2020-05-12,,49.0,10.0,MODERATE
73,29761,USR0000NSTO,2020-05-13,,48.0,10.0,MODERATE
74,29762,USR0000NSTO,2020-05-14,,56.0,9.0,MODERATE
75,29763,USR0000NSTO,2020-05-15,,69.0,8.0,SAFE
76,29764,USR0000NSTO,2020-05-16,,67.0,7.0,SAFE
77,29765,USR0000NSTO,2020-05-17,,62.0,7.0,SAFE
