,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,17014,USW00004781,2020-03-01,9.4,30.0,8.0,SAFE
1,17015,USW00004781,2020-03-02,12.3,39.0,16.0,MODERATE
2,17016,USW00004781,2020-03-03,8.28,49.0,6.0,SAFE
3,17017,USW00004781,2020-03-04,15.88,49.0,10.0,MODERATE
4,17018,USW00004781,2020-03-05,9.17,45.0,12.0,MODERATE
5,17019,USW00004781,2020-03-06,9.84,39.0,19.0,RISKY
6,17020,USW00004781,2020-03-07,17.0,38.0,15.0,MODERATE
7,17021,USW00004781,2020-03-08,8.05,39.0,16.0,MODERATE
8,17022,USW00004781,2020-03-09,10.07,49.0,20.0,RISKY
9,17023,USW00004781,2020-03-10,11.41,50.0,23.0,RISKY
10,17024,USW00004781,2020-03-11,6.93,50.0,28.0,RISKY
11,17025,USW00004781,2020-03-12,8.05,42.0,38.0,RISKY
12,17026,USW00004781,2020-03-13,15.88,53.0,44.0,RISKY
13,17027,USW00004781,2020-03-14,12.08,49.0,43.0,RISKY
14,17028,USW00004781,2020-03-15,9.84,45.0,44.0,RISKY
15,17029,USW00004781,2020-03-16,12.08,38.0,47.0,RISKY
16,17030,USW00004781,2020-03-17,7.16,44.0,48.0,RISKY
17,17031,USW00004781,2020-03-18,6.26,44.0,51.0,RISKY
18,17032,USW00004781,2020-03-19,8.5,45.0,55.0,RISKY
19,17033,USW00004781,2020-03-20,8.5,50.0,58.0,RISKY
20,17034,USW00004781,2020-03-21,12.08,51.0,63.0,RISKY
21,17035,USW00004781,2020-03-22,13.2,38.0,62.0,RISKY
22,17036,USW00004781,2020-03-23,16.11,38.0,63.0,RISKY
23,17037,USW00004781,2020-03-24,12.08,42.0,68.0,RISKY
24,17038,USW00004781,2020-03-25,13.42,42.0,67.0,RISKY
25,17039,USW00004781,2020-03-26,10.51,43.0,71.0,RISKY
26,17040,USW00004781,2020-03-27,9.4,53.0,70.0,RISKY
27,17041,USW00004781,2020-03-28,9.84,47.0,69.0,RISKY
28,17042,USW00004781,2020-03-29,11.63,48.0,67.0,RISKY
29,17043,USW00004781,2020-03-30,8.72,45.0,63.0,RISKY
30,17044,USW00004781,2020-03-31,7.83,43.0,60.0,RISKY
31,17045,USW00004781,2020-04-01,10.74,42.0,58.0,RISKY
32,17046,USW00004781,2020-04-02,21.7,47.0,59.0,RISKY
33,17047,USW00004781,2020-04-03,18.12,47.0,57.0,RISKY
34,17048,USW00004781,2020-04-04,11.63,49.0,56.0,RISKY
35,17049,USW00004781,2020-04-05,6.71,47.0,55.0,RISKY
36,17050,USW00004781,2020-04-06,8.28,51.0,53.0,RISKY
37,17051,USW00004781,2020-04-07,6.71,53.0,53.0,RISKY
38,17052,USW00004781,2020-04-08,7.38,52.0,55.0,RISKY
39,17053,USW00004781,2020-04-09,11.41,49.0,51.0,RISKY
40,17054,USW00004781,2020-04-10,19.24,44.0,48.0,RISKY
41,17055,USW00004781,2020-04-11,12.08,46.0,46.0,RISKY
42,17056,USW00004781,2020-04-12,9.62,46.0,42.0,RISKY
43,17057,USW00004781,2020-04-13,18.34,55.0,38.0,RISKY
44,17058,USW00004781,2020-04-14,11.18,52.0,35.0,RISKY
45,17059,USW00004781,2020-04-15,11.18,47.0,34.0,RISKY
46,17060,USW00004781,2020-04-16,15.21,45.0,33.0,RISKY
47,17061,USW00004781,2020-04-17,9.84,41.0,34.0,RISKY
48,17062,USW00004781,2020-04-18,9.62,42.0,32.0,RISKY
49,17063,USW00004781,2020-04-19,13.42,44.0,31.0,RISKY
50,17064,USW00004781,2020-04-20,8.72,50.0,30.0,RISKY
51,17065,USW00004781,2020-04-21,14.09,47.0,28.0,RISKY
52,17066,USW00004781,2020-04-22,16.33,42.0,27.0,RISKY
53,17067,USW00004781,2020-04-23,4.92,42.0,26.0,RISKY
54,17068,USW00004781,2020-04-24,10.96,45.0,23.0,RISKY
55,17069,USW00004781,2020-04-25,6.04,49.0,23.0,RISKY
56,17070,USW00004781,2020-04-26,13.87,48.0,23.0,RISKY
57,17071,USW00004781,2020-04-27,13.2,44.0,21.0,RISKY
58,17072,USW00004781,2020-04-28,10.07,49.0,19.0,RISKY
59,17073,USW00004781,2020-04-29,12.3,47.0,19.0,RISKY
60,17074,USW00004781,2020-04-30,21.92,51.0,19.0,RISKY
61,17075,USW00004781,2020-05-01,7.16,57.0,18.0,RISKY
62,17076,USW00004781,2020-05-02,12.3,60.0,15.0,MODERATE
63,17077,USW00004781,2020-05-03,9.84,60.0,15.0,MODERATE
64,17078,USW00004781,2020-05-04,12.08,62.0,14.0,MODERATE
65,17079,USW00004781,2020-05-05,9.17,52.0,13.0,MODERATE
66,17080,USW00004781,2020-05-06,8.5,48.0,13.0,MODERATE
67,17081,USW00004781,2020-05-07,12.3,51.0,14.0,MODERATE
68,17082,USW00004781,2020-05-08,8.72,51.0,12.0,MODERATE
69,17083,USW00004781,2020-05-09,18.79,41.0,11.0,MODERATE
70,17084,USW00004781,2020-05-10,15.66,47.0,11.0,MODERATE
71,17085,USW00004781,2020-05-11,10.51,52.0,10.0,MODERATE
72,17086,USW00004781,2020-05-12,14.09,50.0,10.0,MODERATE
73,17087,USW00004781,2020-05-13,10.07,49.0,10.0,MODERATE
74,17088,USW00004781,2020-05-14,6.49,51.0,9.0,MODERATE
75,17089,USW00004781,2020-05-15,10.74,64.0,8.0,SAFE
76,17090,USW00004781,2020-05-16,10.51,62.0,7.0,SAFE
