date,STATION,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,state,cases,deaths
2020-03-01,USW00024141,10.07,,,,0.0,,0.0,0.0,41.0,50.0,28.0,,,320.0,320.0,,,33.1,38.9,,Washington,17,3
2020-03-02,USW00024141,7.83,,,,0.0,,0.0,0.0,43.0,60.0,27.0,,,270.0,270.0,,,21.0,27.1,,Washington,23,6
2020-03-03,USW00024141,13.42,,,,0.0,,0.0,0.0,50.0,63.0,39.0,,,240.0,240.0,,,29.1,36.0,,Washington,32,10
2020-03-04,USW00024141,12.75,,,,0.0,,0.0,0.0,48.0,54.0,35.0,,,290.0,280.0,,,30.0,38.9,,Washington,47,11
2020-03-05,USW00024141,5.14,,,,0.0,,0.0,0.0,39.0,51.0,30.0,,,20.0,10.0,,,12.1,13.0,,Washington,75,11
2020-03-06,USW00024141,3.36,,,,0.03,,0.0,0.0,41.0,53.0,31.0,,,310.0,310.0,,,12.1,15.0,,Washington,86,12
2020-03-07,USW00024141,6.04,,,,0.29,,0.0,0.0,44.0,51.0,31.0,,,230.0,230.0,,,23.0,31.1,,Washington,110,16
2020-03-08,USW00024141,3.58,,,,0.0,,0.0,0.0,37.0,50.0,24.0,,,220.0,250.0,,,12.1,15.0,,Washington,141,19
2020-03-09,USW00024141,6.04,,,,0.0,,0.0,0.0,40.0,51.0,29.0,,,340.0,340.0,,,14.1,17.0,,Washington,179,22
2020-03-10,USW00024141,6.04,,,,0.0,,0.0,0.0,37.0,54.0,26.0,,,200.0,210.0,,,21.0,27.1,,Washington,279,24
2020-03-11,USW00024141,13.42,,,,0.0,,0.0,0.0,47.0,57.0,34.0,,,310.0,310.0,,,29.1,36.0,,Washington,338,29
2020-03-12,USW00024141,7.61,,,,0.0,,0.0,0.0,42.0,52.0,32.0,,,300.0,320.0,,,18.1,23.0,,Washington,419,32
2020-03-13,USW00024141,12.3,,,,0.24,,0.0,0.0,37.0,40.0,29.0,,,30.0,40.0,,,23.0,28.0,,Washington,511,37
2020-03-14,USW00024141,14.99,,,,0.0,,0.0,0.0,29.0,31.0,24.0,,,20.0,20.0,,,25.1,30.0,,Washington,609,40
2020-03-15,USW00024141,14.99,,,,0.0,,0.0,0.0,29.0,41.0,23.0,,,360.0,10.0,,,23.0,27.1,,Washington,675,42
