date,STATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,positive,negative,hospitalizedCurrently,death,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Case rate per day in %,threat level
2020-03-01,USW00024227,4.25,0.0,0.0,0.0,36.0,47.0,26.0,230.0,230.0,14.1,17.0,34,81,,8,115,3,0,58,16.0,74.0,21.62,RISKY
2020-03-02,USW00024227,10.96,0.03,0.0,0.0,42.0,47.0,40.0,180.0,190.0,19.9,25.1,65,229,,11,294,3,0,148,31.0,179.0,17.32,MODERATE
2020-03-03,USW00024227,10.51,0.11,0.0,0.0,47.0,54.0,44.0,240.0,240.0,19.9,27.1,90,427,,14,517,3,0,198,25.0,223.0,11.21,MODERATE
2020-03-04,USW00024227,5.82,0.0,0.0,0.0,46.0,54.0,34.0,210.0,210.0,17.0,21.9,128,633,,16,761,2,0,206,38.0,244.0,15.57,MODERATE
2020-03-05,USW00024227,6.71,0.09,0.0,0.0,42.0,56.0,30.0,210.0,190.0,19.9,25.9,179,944,,20,1123,4,0,311,51.0,362.0,14.09,MODERATE
2020-03-06,USW00024227,2.68,0.25,0.0,0.0,42.0,44.0,37.0,210.0,210.0,8.1,10.1,218,1379,,26,1597,6,0,435,39.0,474.0,8.23,SAFE
2020-03-07,USW00024227,3.8,0.13,0.0,0.0,39.0,44.0,31.0,330.0,320.0,14.1,17.0,256,1746,,27,2002,1,0,367,38.0,405.0,9.38,MODERATE
2020-03-08,USW00024227,2.91,0.0,0.0,0.0,35.0,47.0,28.0,60.0,50.0,8.9,13.0,317,2208,,31,2525,4,0,462,61.0,523.0,11.66,MODERATE
2020-03-09,USW00024227,1.79,0.0,0.0,0.0,36.0,52.0,24.0,360.0,360.0,8.9,12.1,378,3173,,35,3551,4,0,965,61.0,1026.0,5.95,SAFE
2020-03-10,USW00024227,7.83,0.0,0.0,0.0,39.0,55.0,27.0,240.0,240.0,17.0,23.0,488,4848,,37,5336,2,0,1675,110.0,1785.0,6.16,SAFE
2020-03-11,USW00024227,6.71,0.0,0.0,0.0,46.0,55.0,32.0,300.0,320.0,16.1,21.0,621,6976,,40,7597,3,0,2128,133.0,2261.0,5.88,SAFE
2020-03-12,USW00024227,2.46,0.0,0.0,0.0,40.0,53.0,25.0,310.0,330.0,10.1,13.0,799,10563,0.0,44,11362,4,0,3587,178.0,3765.0,4.73,SAFE
2020-03-13,USW00024227,3.13,0.28,0.0,0.0,37.0,39.0,33.0,30.0,50.0,10.1,15.0,1015,14585,0.0,47,15600,3,0,4022,216.0,4238.0,5.1,SAFE
2020-03-14,USW00024227,11.18,0.01,0.0,0.0,37.0,44.0,33.0,30.0,20.0,18.1,23.9,1171,16768,0.0,51,17939,4,0,2183,156.0,2339.0,6.67,SAFE
2020-03-15,USW00024227,9.84,0.0,0.0,0.0,37.0,48.0,30.0,20.0,30.0,18.1,25.1,1277,18353,0.0,57,19630,6,0,1585,106.0,1691.0,6.27,SAFE
2020-03-16,USW00024227,4.25,0.0,0.0,0.0,40.0,58.0,23.0,60.0,60.0,13.0,16.1,1577,22957,0.0,69,24534,12,0,4604,300.0,4904.0,6.12,SAFE
2020-03-17,USW00024227,2.01,0.0,0.0,0.0,40.0,58.0,22.0,20.0,30.0,8.9,12.1,1840,27344,0.0,78,29184,9,0,4387,263.0,4650.0,5.66,SAFE
2020-03-18,USW00024227,2.68,0.0,0.0,0.0,39.0,58.0,24.0,230.0,240.0,12.1,15.0,2129,31812,0.0,82,33941,4,0,4468,289.0,4757.0,6.08,SAFE
2020-03-19,USW00024227,1.79,0.0,0.0,0.0,42.0,63.0,25.0,180.0,180.0,8.9,11.0,2461,36040,0.0,92,38501,10,0,4228,332.0,4560.0,7.28,SAFE
2020-03-20,USW00024227,2.01,0.0,0.0,0.0,45.0,65.0,28.0,280.0,270.0,8.9,12.1,2764,39805,0.0,104,42569,12,0,3765,303.0,4068.0,7.45,SAFE
2020-03-21,USW00024227,2.24,0.0,0.0,0.0,45.0,58.0,29.0,20.0,20.0,8.9,13.0,2958,41956,0.0,111,44914,7,0,2151,194.0,2345.0,8.27,SAFE
2020-03-22,USW00024227,6.71,0.0,0.0,0.0,43.0,60.0,29.0,250.0,260.0,15.0,21.9,3141,43663,0.0,126,46804,15,0,1707,183.0,1890.0,9.68,MODERATE
2020-03-23,USW00024227,8.72,0.34,0.0,0.0,45.0,49.0,38.0,200.0,210.0,18.1,23.9,3604,48508,0.0,137,52112,11,0,4845,463.0,5308.0,8.72,SAFE
2020-03-24,USW00024227,5.37,0.1,0.0,0.0,42.0,50.0,36.0,180.0,180.0,14.1,17.0,4038,53326,0.0,146,57364,9,0,4818,434.0,5252.0,8.26,SAFE
2020-03-25,USW00024227,4.92,0.09,0.0,0.0,42.0,52.0,36.0,330.0,320.0,17.0,21.0,4477,57897,0.0,159,62374,13,0,4571,439.0,5010.0,8.76,SAFE
2020-03-26,USW00024227,6.49,0.0,0.0,0.0,40.0,49.0,32.0,250.0,290.0,15.0,21.9,4909,61944,0.0,183,66853,24,0,4047,432.0,4479.0,9.65,MODERATE
2020-03-27,USW00024227,8.95,0.07,0.0,0.0,43.0,50.0,38.0,210.0,200.0,18.1,23.0,5359,65844,0.0,199,71203,16,0,3900,450.0,4350.0,10.34,MODERATE
2020-03-28,USW00024227,12.75,0.31,0.0,0.0,48.0,53.0,45.0,190.0,190.0,23.0,29.1,5642,68163,0.0,220,73805,21,0,2319,283.0,2602.0,10.88,MODERATE
2020-03-29,USW00024227,8.72,0.44,0.0,0.0,48.0,54.0,45.0,180.0,180.0,19.9,25.1,5880,69750,0.0,237,75630,17,0,1587,238.0,1825.0,13.04,MODERATE
2020-03-30,USW00024227,10.51,0.89,0.0,0.0,46.0,48.0,38.0,250.0,200.0,25.1,33.1,6441,74245,0.0,248,80686,11,0,4495,561.0,5056.0,11.1,MODERATE
2020-03-31,USW00024227,7.38,0.21,0.0,0.0,41.0,47.0,35.0,240.0,240.0,16.1,21.0,6908,78403,0.0,262,85311,14,0,4158,467.0,4625.0,10.1,MODERATE
2020-04-01,USW00024227,4.7,0.0,0.0,0.0,41.0,54.0,35.0,10.0,10.0,13.0,16.1,7354,82615,0.0,282,89969,20,0,4212,446.0,4658.0,9.57,MODERATE
2020-04-02,USW00024227,5.82,0.02,0.0,0.0,42.0,49.0,31.0,290.0,270.0,17.0,21.0,7758,87037,0.0,310,94795,28,0,4422,404.0,4826.0,8.37,SAFE
2020-04-03,USW00024227,7.83,0.04,0.0,0.0,39.0,46.0,28.0,230.0,220.0,16.1,25.1,8167,91398,0.0,338,99565,28,0,4361,409.0,4770.0,8.57,SAFE
2020-04-04,USW00024227,4.7,0.01,0.0,0.0,38.0,54.0,27.0,20.0,30.0,15.0,19.9,8375,93772,574.0,365,102147,27,0,2374,208.0,2582.0,8.06,SAFE
2020-04-05,USW00024227,4.92,0.01,0.0,0.0,47.0,59.0,35.0,40.0,20.0,13.0,18.1,8544,95545,581.0,386,104089,21,0,1773,169.0,1942.0,8.7,SAFE
2020-04-06,USW00024227,3.36,0.0,0.0,0.0,45.0,63.0,30.0,280.0,290.0,14.1,18.1,8937,100203,638.0,407,109140,21,0,4658,393.0,5051.0,7.78,SAFE
2020-04-07,USW00024227,2.68,0.0,0.0,0.0,46.0,58.0,32.0,70.0,70.0,10.1,13.0,9346,104943,641.0,429,114289,22,0,4740,409.0,5149.0,7.94,SAFE
2020-04-08,USW00024227,4.92,0.0,0.0,0.0,45.0,64.0,28.0,40.0,60.0,14.1,19.0,9687,109332,655.0,443,119019,14,0,4389,341.0,4730.0,7.21,SAFE
2020-04-09,USW00024227,4.03,0.0,0.0,0.0,50.0,70.0,31.0,70.0,30.0,13.0,19.0,10049,113164,650.0,459,123213,16,0,3832,362.0,4194.0,8.63,SAFE
