date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdate,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200301,WA,34,81,,,,,,,,,,3/1/2020 0:00,123bd0b8caa9b1317f97e9cea9d8f5c5d4f4e203,2020-03-01T21:00:00Z,8,,115,115,115,53,3,0,58,16,74
20200302,WA,65,229,,,,,,,,,,3/2/2020 0:00,e090a6e0dbeca262f8cb642a40ce5755097ed2ef,2020-03-02T21:00:00Z,11,,294,294,294,53,3,0,148,31,179
20200303,WA,90,427,,,,,,,,,,3/3/2020 0:00,4bcfecb37283508afbca4bbef79e913883ead7e9,2020-03-03T21:00:00Z,14,,517,517,517,53,3,0,198,25,223
20200304,WA,128,633,,,,,,,,,,3/4/2020 0:00,b8b39e23113cd7fc4ffd6027237b30ea1bb4f4f0,2020-03-04T21:00:00Z,16,,761,761,761,53,2,0,206,38,244
20200305,WA,179,944,,,,,,,,,,3/5/2020 0:00,a91d8b2943361ac4121b37bb350110831482f24f,2020-03-05T21:00:00Z,20,,1123,1123,1123,53,4,0,311,51,362
20200306,WA,218,1379,,,,,,,,,,3/6/2020 0:00,551798555aca0477715289795d1fae8c39cc1275,2020-03-06T21:00:00Z,26,,1597,1597,1597,53,6,0,435,39,474
20200307,WA,256,1746,66,,,,,,,,,3/7/2020 0:00,d07cf12b2a5433d074f2154306225deb6991f076,2020-03-07T21:00:00Z,27,,2068,2002,2002,53,1,0,367,38,405
20200308,WA,317,2208,60,,,,,,,,,3/8/2020 0:00,2213b44ea634d1773077d3e54708eba10e353a87,2020-03-08T20:00:00Z,31,,2585,2525,2525,53,4,0,462,61,523
20200309,WA,378,3173,,,,,,,,,,3/9/2020 0:00,2b608e0a050dae0c791ebbcc5f0ad5d87ad4debd,2020-03-09T20:00:00Z,35,,3551,3551,3551,53,4,0,965,61,1026
20200310,WA,488,4848,,,,,,,,,,3/10/2020 0:00,68b3f486ec7a0c581f7e2e8502855fe6da84c4ff,2020-03-10T20:00:00Z,37,,5336,5336,5336,53,2,0,1675,110,1785
20200311,WA,621,6976,,,,,,,,,,3/11/2020 0:00,f0dbd72d89645c8a8196f72286272a3b885dc513,2020-03-11T20:00:00Z,40,,7597,7597,7597,53,3,0,2128,133,2261
20200312,WA,799,10563,,0,,,,,,,,3/12/2020 0:00,26637457770343ac30569d53448276021d3273e2,2020-03-12T20:00:00Z,44,,11362,11362,11362,53,4,0,3587,178,3765
20200313,WA,1015,14585,,0,,,,,,,,3/13/2020 0:00,fabc98dfab5b8c284ee41bd9a8664f21e1554968,2020-03-13T20:00:00Z,47,,15600,15600,15600,53,3,0,4022,216,4238
20200314,WA,1171,16768,,0,,,,,,,,3/14/2020 0:00,65e3d199ae6fe5007139887fdea7a909df7b814c,2020-03-14T20:00:00Z,51,,17939,17939,17939,53,4,0,2183,156,2339
20200315,WA,1277,18353,,0,,,,,,,,3/15/2020 0:00,07a4ccf601cc4e6ab97e541aa7d24583a07d73dd,2020-03-15T20:00:00Z,57,,19630,19630,19630,53,6,0,1585,106,1691
20200316,WA,1577,22957,,0,,,,,,,,3/16/2020 0:00,a5a90c2d56ac7efb5152329c57c1377e37a26f62,2020-03-16T20:00:00Z,69,,24534,24534,24534,53,12,0,4604,300,4904
20200317,WA,1840,27344,,0,,,,,,,,3/17/2020 0:00,9b907112004182c93b6079790a1e7b1777da7b0c,2020-03-17T20:00:00Z,78,,29184,29184,29184,53,9,0,4387,263,4650
20200318,WA,2129,31812,,0,,,,,,,,3/18/2020 0:00,e2b2bb0f0dd68fba96775e39f4a0a776b1f19ca2,2020-03-18T20:00:00Z,82,,33941,33941,33941,53,4,0,4468,289,4757
20200319,WA,2461,36040,,0,,,,,,,,3/19/2020 0:00,761d22d26d040c5fbd14aa4a112fc60345e771a4,2020-03-19T20:00:00Z,92,,38501,38501,38501,53,10,0,4228,332,4560
20200320,WA,2764,39805,,0,,,,,,,,3/20/2020 0:00,9ef708c001a480dc4c232ec93c472130cedd3472,2020-03-20T20:00:00Z,104,,42569,42569,42569,53,12,0,3765,303,4068
20200321,WA,2958,41956,,0,,,,,,,,3/21/2020 0:00,16891ab2664f0123b7e801b46cd70f0efff6f396,2020-03-21T20:00:00Z,111,,44914,44914,44914,53,7,0,2151,194,2345
20200322,WA,3141,43663,,0,,,,,,,,3/22/2020 0:00,f91d25164824d4a4f8cf088837229924375a3fc0,2020-03-22T20:00:00Z,126,,46804,46804,46804,53,15,0,1707,183,1890
20200323,WA,3604,48508,,0,,,,,,,A,3/23/2020 0:00,c818ffe9478f4b7ef8515474cf6e60d0feb5c662,2020-03-23T20:00:00Z,137,,52112,52112,52112,53,11,0,4845,463,5308
20200324,WA,4038,53326,,0,,,,,,,A,3/24/2020 0:00,eee3a8a00613adf64bdcac25df6204d0383994ff,2020-03-24T20:00:00Z,146,,57364,57364,57364,53,9,0,4818,434,5252
20200325,WA,4477,57897,,0,,,,,,,A,3/25/2020 0:00,48c5c0a3f5d2b6cd57c9c72105587c6441fc3afb,2020-03-25T20:00:00Z,159,,62374,62374,62374,53,13,0,4571,439,5010
20200326,WA,4909,61944,,0,,,,,,,A,3/26/2020 0:00,68fa2b0e531f1c16623545195ff00767ae1dfb90,2020-03-26T20:00:00Z,183,,66853,66853,66853,53,24,0,4047,432,4479
20200327,WA,5359,65844,,0,,,,,,,A,3/27/2020 0:00,ff5aca50fae41fc1ce8f11be46833c730a58a32a,2020-03-27T20:00:00Z,199,,71203,71203,71203,53,16,0,3900,450,4350
20200328,WA,5642,68163,,0,,,,,,,A,3/28/2020 0:00,d857badf616df70b93459334392c4895bbd19c56,2020-03-28T20:00:00Z,220,,73805,73805,73805,53,21,0,2319,283,2602
20200329,WA,5880,69750,,0,,,,,,,A,3/29/2020 0:00,2b0168f3a93c5c31b0e61f607ed6b5731a51ad28,2020-03-29T20:00:00Z,237,,75630,75630,75630,53,17,0,1587,238,1825
20200330,WA,6441,74245,,0,,,,,,,A,3/30/2020 0:00,441b3f93bca9cc16fca75ba0e30243fde08107a8,2020-03-30T20:00:00Z,248,,80686,80686,80686,53,11,0,4495,561,5056
20200331,WA,6908,78403,,0,,,,,,,A,3/31/2020 0:00,8922bc63abc7e6fdbf606419e0076b96b38a6305,2020-03-31T20:00:00Z,262,,85311,85311,85311,53,14,0,4158,467,4625
20200401,WA,7354,82615,,0,,,,,,,A,4/1/2020 0:00,94fb160fdd3bb67520d37a3e4b5f26fd9936bd6b,2020-04-01T20:00:00Z,282,,89969,89969,89969,53,20,0,4212,446,4658
20200402,WA,7758,87037,,0,,,,,,,A,4/2/2020 0:00,57c30052f5949b5a4d65369ee5c37140ffa62ae9,2020-04-02T20:00:00Z,310,,94795,94795,94795,53,28,0,4422,404,4826
